timestamp_ms,pid,private_mb,workingset_mb,responding,hasExited
15,35592,26,19.6,True,false
2028,35592,516.2,430.7,True,false
4033,35592,521,434.5,True,false
6038,35592,521,434.6,True,false
8043,35592,521,434.6,True,false
10050,35592,520.3,433.8,True,false
12054,35592,520.2,433.8,True,false
14061,35592,520.2,433.8,True,false
16066,35592,520.1,433.8,True,false
18070,35592,520.2,433.8,True,false
20077,35592,520.2,433.8,True,false
22082,35592,520.1,433.8,True,false
24087,35592,520.2,433.8,True,false
26092,35592,520.2,433.8,True,false
28098,35592,520.1,433.8,True,false
30104,35592,520.1,433.7,True,false
32109,35592,520.1,433.7,True,false
34115,35592,520.1,433.8,True,false
36122,35592,520.2,433.8,True,false
38128,35592,520.3,433.8,True,false
40136,35592,520.3,433.8,True,false
42142,35592,520.2,433.8,True,false
44148,35592,520.2,433.8,True,false
46153,35592,520.2,433.8,True,false
48157,35592,520.2,433.8,True,false
50164,35592,520.1,433.8,True,false
52170,35592,520.2,433.8,True,false
54177,35592,520.2,433.8,True,false
56181,35592,520.4,433.8,True,false
58185,35592,520.1,433.8,True,false
60190,35592,520.2,433.8,True,false
62197,35592,520.2,433.8,True,false
64201,35592,520.2,433.8,True,false
66206,35592,520.4,433.8,True,false
68209,35592,520.1,433.8,True,false
70225,35592,520.3,433.8,True,false
72233,35592,520.1,433.8,True,false
74238,35592,520.1,433.8,True,false
76243,35592,520.1,433.8,True,false
78249,35592,520.1,433.8,True,false
80253,35592,520.2,433.8,True,false
82257,35592,520.2,433.8,True,false
84264,35592,520.1,433.8,True,false
86270,35592,520.2,433.8,True,false
88277,35592,520.3,433.8,True,false
90283,35592,520.2,433.8,True,false
92288,35592,520.1,433.8,True,false
94294,35592,520.4,434.1,True,false
96299,35592,520.2,433.8,True,false
98305,35592,520.4,434.1,True,false
100310,35592,520.2,433.8,True,false
102316,35592,520.2,433.8,True,false
104321,35592,520.1,433.8,True,false
106325,35592,520.1,433.8,True,false
108330,35592,520.1,433.8,True,false
110336,35592,520.1,433.8,True,false
112342,35592,520.2,433.8,True,false
114347,35592,520.1,433.8,True,false
116352,35592,520.2,433.9,True,false
118357,35592,520.2,433.8,True,false
120363,35592,520.2,433.8,True,false
122369,35592,520.2,433.8,True,false
124374,35592,520.1,433.8,True,false
126379,35592,520.3,433.8,True,false
128384,35592,520.1,433.8,True,false
130388,35592,520.1,433.8,True,false
132395,35592,520.1,433.8,True,false
134407,35592,520,433.7,True,false
136412,35592,520,433.7,True,false
138417,35592,520,433.7,True,false
140424,35592,520.3,434,True,false
142428,35592,520,433.7,True,false
144434,35592,520.3,434,True,false
146437,35592,520.3,434,True,false
148443,35592,520.2,434,True,false
150448,35592,520.3,434,True,false
152452,35592,520.3,434,True,false
154458,35592,520,433.7,True,false
156463,35592,519.9,433.7,True,false
158468,35592,520,433.7,True,false
160472,35592,520.2,434,True,false
162478,35592,520.2,434,True,false
164485,35592,520.3,434.1,True,false
166488,35592,520.3,434.1,True,false
168495,35592,520,433.8,True,false
170502,35592,520,433.8,True,false
172506,35592,520,433.8,True,false
174510,35592,520,433.8,True,false
176516,35592,520.3,434.1,True,false
178522,35592,520.3,434.1,True,false
180527,35592,520,433.8,True,false
182533,35592,520.3,434.1,True,false
184538,35592,520.3,434.1,True,false
186542,35592,520,433.8,True,false
188548,35592,520.3,434.1,True,false
190553,35592,520.3,434.1,True,false
192558,35592,520,433.8,True,false
194563,35592,520.4,434.1,True,false
196568,35592,519.9,433.7,True,false
198573,35592,520,433.8,True,false
200579,35592,520,433.8,True,false
202584,35592,520,433.8,True,false
204588,35592,520.4,434.1,True,false
206593,35592,520,433.8,True,false
208597,35592,520,433.8,True,false
210603,35592,520,433.8,True,false
212608,35592,520.4,434.1,True,false
214614,35592,520,433.8,True,false
216620,35592,520.4,434.1,True,false
218624,35592,520.4,434.1,True,false
220629,35592,520.4,434.1,True,false
222632,35592,520.4,434.1,True,false
224638,35592,520.4,434.1,True,false
226643,35592,520.4,434.1,True,false
228646,35592,520.4,434,True,false
230651,35592,520.4,434.1,True,false
232657,35592,520,433.8,True,false
234661,35592,520.4,434,True,false
236667,35592,520.4,434.1,True,false
238673,35592,520.3,434.1,True,false
240679,35592,520.3,434.1,True,false
242685,35592,520,433.8,True,false
244690,35592,520.3,434.1,True,false
246696,35592,520.3,434.1,True,false
248701,35592,520.3,434.1,True,false
250707,35592,520,433.8,True,false
252712,35592,520.3,434.1,True,false
254717,35592,520,433.8,True,false
256722,35592,520.3,434.1,True,false
258729,35592,520.3,434.1,True,false
260745,35592,520.2,433.9,True,false
262750,35592,520.3,434.1,True,false
264753,35592,520.3,434.1,True,false
266757,35592,520.3,434.1,True,false
268762,35592,520.3,434,True,false
270768,35592,519.9,433.7,True,false
272774,35592,520.3,434,True,false
274781,35592,520.2,434,True,false
276785,35592,520.3,434.1,True,false
278791,35592,520.3,434.1,True,false
280798,35592,520.3,434.1,True,false
282804,35592,520,433.8,True,false
284810,35592,520,433.8,True,false
