timestamp_ms,pid,private_mb,workingset_mb,responding
4051,24952,514.4,428.6,True
6075,24952,523.5,433.8,True
8084,24952,523.2,434,True
10103,24952,663,566.9,True
12113,24952,673.7,579.8,True
14124,24952,673.7,579.9,True
16131,24952,821,720.1,True
18140,24952,824.4,725.6,True
20152,24952,824.5,725.7,True
22159,24952,972,853,True
24166,24952,975.5,871.7,True
26173,24952,975.6,871.8,True
28181,24952,1122.7,1011.8,True
30189,24952,1126.2,1017.2,True
32209,24952,1126.1,1017.1,True
34217,24952,1294.3,1174.5,True
36225,24952,1276.9,1162.6,True
38236,24952,1276.9,1162.6,True
40247,24952,1441.9,1320.6,True
42254,24952,1427.8,1308.3,True
44262,24952,1427.8,1308.3,True
46271,24952,1603.8,1477.5,True
48278,24952,1578.5,1453.6,True
50292,24952,1578.5,1453.6,True
52300,24952,1755.6,1623.5,True
54307,24952,1729.5,1599.3,True
56314,24952,1729.5,1599.3,True
58321,24952,1906.3,1769.2,True
60333,24952,1880.2,1744.9,True
62341,24952,1880.2,1744.9,True
64349,24952,1881.4,1745.9,True
66356,24952,1881.4,1746,True
68364,24952,1881.4,1745.9,True
70371,24952,1881.3,1745.9,True
72386,24952,1881.3,1745.9,True
74394,24952,1881.4,1745.9,True
76403,24952,1881.4,1746,True
78410,24952,1881.4,1745.9,True
80419,24952,1881.4,1745.9,True
82427,24952,1881.3,1745.9,True
84439,24952,1881.3,1745.9,True
86448,24952,1881.3,1745.9,True
88457,24952,1881.3,1745.9,True
90466,24952,1881.3,1745.9,True
92474,24952,1881.3,1745.9,True
94489,24952,1793.3,1658.1,True
